phone_number,call_start,call_end,costs
420441212878,2022-01-03 08:16:37,2022-01-03 08:19:15,3.0
420306421116,2022-01-05 18:13:22,2022-01-05 18:14:58,0.0
420441212878,2022-01-06 03:17:23,2022-01-06 03:23:32,3.9
420215286084,2022-01-06 11:32:38,2022-01-06 11:33:31,1.0
420569672912,2022-01-06 21:02:50,2022-01-06 21:04:31,1.0
420243887202,2022-01-07 06:13:36,2022-01-07 06:19:06,3.2
420306421116,2022-01-09 14:20:50,2022-01-09 14:25:08,0.0
420956378134,2022-01-11 22:54:01,2022-01-11 22:55:31,1.0
420594093058,2022-01-12 08:43:17,2022-01-12 08:43:49,1.0
420592203276,2022-01-12 18:27:54,2022-01-12 18:30:31,1.5
420654050378,2022-01-14 03:00:19,2022-01-14 03:06:08,3.2
420816075012,2022-01-16 11:06:19,2022-01-16 11:10:44,5.0
420863347360,2022-01-18 20:11:24,2022-01-18 20:12:34,1.0
420305663081,2022-01-19 05:48:58,2022-01-19 05:52:41,2.0
420995787993,2022-01-19 13:54:57,2022-01-19 13:59:36,5.0
420306421116,2022-01-19 23:03:50,2022-01-19 23:07:33,0.0
420861743863,2022-01-22 07:42:58,2022-01-22 07:43:41,0.5
420599759670,2022-01-23 16:26:31,2022-01-23 16:29:51,2.0
420610905123,2022-01-24 01:11:46,2022-01-24 01:15:46,2.0
420770625475,2022-01-26 10:32:55,2022-01-26 10:37:28,5.0
420985866677,2022-01-26 20:10:08,2022-01-26 20:16:17,3.9
420511880146,2022-01-29 05:39:08,2022-01-29 05:40:02,0.5
420380601180,2022-01-31 14:24:45,2022-01-31 14:31:23,7.4
420441212878,2022-02-02 23:45:59,2022-02-02 23:46:50,0.5
420666079123,2022-02-03 08:59:20,2022-02-03 09:04:07,5.0
420649730578,2022-02-05 18:13:39,2022-02-05 18:17:25,2.0
420291225337,2022-02-08 02:28:42,2022-02-08 02:29:13,0.5
420995143424,2022-02-10 10:29:19,2022-02-10 10:30:58,2.0
420291949138,2022-02-12 19:05:18,2022-02-12 19:08:59,2.0
420826026819,2022-02-14 03:21:18,2022-02-14 03:26:00,2.5
420441212878,2022-02-16 11:58:02,2022-02-16 11:59:15,2.0
420549850132,2022-02-17 21:21:46,2022-02-17 21:27:53,3.9
420359969589,2022-02-20 06:01:44,2022-02-20 06:02:31,0.5
420148695121,2022-02-21 15:14:15,2022-02-21 15:19:05,5.0
420441212878,2022-02-22 00:29:26,2022-02-22 00:35:24,3.2
420833199879,2022-02-22 09:13:05,2022-02-22 09:19:08,7.4
420852824588,2022-02-23 18:54:36,2022-02-23 18:55:58,1.0
420143644176,2022-02-24 04:52:42,2022-02-24 04:57:27,2.5
420982627303,2022-02-24 14:16:13,2022-02-24 14:20:15,5.0
420728897249,2022-02-24 23:56:37,2022-02-25 00:02:09,3.7
420789448053,2022-02-25 08:32:34,2022-02-25 08:36:29,4.0
420769493756,2022-02-26 16:35:20,2022-02-26 16:37:50,1.5
420865865937,2022-02-27 01:22:45,2022-02-27 01:23:58,1.0
420670523278,2022-02-28 11:16:50,2022-02-28 11:18:14,2.0
420623802856,2022-03-02 19:55:30,2022-03-02 19:57:11,1.0
420740272802,2022-03-05 05:48:26,2022-03-05 05:53:30,3.2
420399099033,2022-03-05 13:59:57,2022-03-05 14:01:24,2.0
420579320098,2022-03-06 22:46:01,2022-03-06 22:51:55,3.2
420725026665,2022-03-09 08:29:22,2022-03-09 08:35:38,7.4
420921529289,2022-03-11 17:22:10,2022-03-11 17:26:18,2.5
420209990991,2022-03-12 01:26:46,2022-03-12 01:31:10,2.5
420721179946,2022-03-12 10:20:00,2022-03-12 10:23:32,4.0
420525098549,2022-03-13 19:20:34,2022-03-13 19:26:14,3.2
420374863964,2022-03-16 03:45:12,2022-03-16 04:47:05,42.4
420647594579,2022-03-16 13:59:54,2022-03-16 14:05:15,6.2
420336392772,2022-03-16 23:39:24,2022-03-16 23:44:25,2.5
420153204613,2022-03-19 07:47:57,2022-03-19 07:52:32,2.5
420624034876,2022-03-19 16:01:18,2022-03-19 16:07:23,3.9
420534345453,2022-03-21 00:10:10,2022-03-21 00:16:47,3.9
420169936929,2022-03-21 10:02:56,2022-03-21 10:08:14,6.2
420229515910,2022-03-23 18:51:54,2022-03-23 18:58:28,3.9
420297551713,2022-03-26 03:03:32,2022-03-26 03:08:08,2.5
420306421116,2022-03-28 12:30:29,2022-03-28 12:34:11,0.0
420188472109,2022-03-29 21:35:27,2022-03-29 21:39:35,2.5
420770370091,2022-03-30 05:48:20,2022-03-30 05:53:50,3.2
420241099215,2022-03-31 13:50:27,2022-03-31 13:53:39,4.0
420776304974,2022-04-02 22:44:58,2022-04-02 22:50:44,3.2
420541790199,2022-04-03 07:08:07,2022-04-03 08:14:11,53.4
420294168827,2022-04-03 16:34:18,2022-04-03 16:38:41,2.5
420947155177,2022-04-06 00:48:24,2022-04-06 00:49:24,0.5
420537441263,2022-04-08 09:47:23,2022-04-08 09:52:00,5.0
420335171559,2022-04-10 19:28:24,2022-04-10 19:34:46,3.9
420791781960,2022-04-11 03:55:16,2022-04-11 04:01:39,3.9
420744745273,2022-04-13 13:53:06,2022-04-13 13:55:22,3.0
420691260236,2022-04-13 22:22:01,2022-04-13 22:23:11,1.0
420929975795,2022-04-15 07:06:29,2022-04-15 07:11:59,3.2
420470394171,2022-04-16 15:29:26,2022-04-16 15:32:32,4.0
420256522224,2022-04-17 23:38:44,2022-04-17 23:43:20,2.5
420148828151,2022-04-19 08:40:47,2022-04-19 08:42:52,3.0
420306421116,2022-04-19 17:16:23,2022-04-19 17:18:21,0.0
420227740880,2022-04-20 02:12:02,2022-04-20 02:18:15,3.9
420680175598,2022-04-21 11:25:19,2022-04-21 11:29:57,5.0
420410375393,2022-04-21 21:21:10,2022-04-21 21:23:26,1.5
420934460478,2022-04-22 06:40:39,2022-04-22 06:45:04,2.5
420306421116,2022-04-24 15:52:02,2022-04-24 15:56:51,0.0
